Sequences,"A,a","E,e","I,i","O,o","U,u",Consonants
INhdQkBfO,0,0,1,1,0,7
UmysQhl,0,0,0,0,1,6
j9AyeZc,1,1,0,0,0,5
WetS23,0,1,0,0,0,5
zjt8KP08tr,0,0,0,0,0,10
ZKPR8u,0,0,0,0,1,5
cvibST5qPS,0,0,1,0,0,9
fVT6BmH95w,0,0,0,0,0,10
tksrK8D,0,0,0,0,0,7
GIjjcyEtK,0,1,1,0,0,7
3Qzfvb,0,0,0,0,0,6
FWBcibG,0,0,1,0,0,6
9r9YHg,0,0,0,0,0,6
Lp7tSVx8zL,0,0,0,0,0,10
BR4C219,0,0,0,0,0,7
E1i7g1I,0,1,2,0,0,4
jJqw34qg7,0,0,0,0,0,9
Z1GEtX,0,1,0,0,0,5
RZnFAG,1,0,0,0,0,5
z42PSZ7RI,0,0,1,0,0,8
LsGREJzDr,0,1,0,0,0,8
8fLfZWZd3,0,0,0,0,0,9
G5ZR4Dq,0,0,0,0,0,7
GPtxAvqsz,1,0,0,0,0,8
RCXUt2rqmo,0,0,0,1,1,8
22K0QcE,0,1,0,0,0,6
NrHjly,0,0,0,0,0,6
MK38Uk,0,0,0,0,1,5
6pGUXcf,0,0,0,0,1,6
PsBfDm0Z,0,0,0,0,0,8
p4NcNJswk,0,0,0,0,0,9
M2UNtLcG,0,0,0,0,1,7
9wE4OWdBHS,0,1,0,1,0,8
wZYc4a11,1,0,0,0,0,7
pbTBXsM7p,0,0,0,0,0,9
CFk2d5o5,0,0,0,1,0,7
gFXXc3leq,0,1,0,0,0,8
bc49BhWR,0,0,0,0,0,8
zN2q5VFG7O,0,0,0,1,0,9
FpFQR4xb,0,0,0,0,0,8
YNldaTeu,1,1,0,0,1,5
ljG94D,0,0,0,0,0,6
hSjPGWE,0,1,0,0,0,6
GWE40gPHU,0,1,0,0,1,7
Mcw45saGT,1,0,0,0,0,8
jaPG5ADOV,2,0,0,1,0,6
SgbevKPcP,0,1,0,0,0,8
WekPtl,0,1,0,0,0,5
lQNxPoy,0,0,0,1,0,6
5Pf5Y6eXbb,0,1,0,0,0,9
WFot6XrIHF,0,0,1,1,0,8
NdHDLWn7Y,0,0,0,0,0,9
VTXaH2e6G,1,1,0,0,0,7
